Experiment
id,num_subjects,start_phase_one,start_phase_two,treatment,showupfee
2,2,0,0,Before,5
Subjects
id,login,password,experiment_id,current_round,round_counter,payoff,current_phase,first_stage_order,treatment,first_stage_last_round,second_stage_order,second_stage_last_round
3,test1,9a3f4ed8653d64a2a5c7881b4339a64e,2,0,1,0,not_logged_in,,Before,0,,0
4,test2,9a3f4ed8653d64a2a5c7881b4339a64e,2,0,1,0,not_logged_in,,Before,0,,0
"Subjects Selected Bundles"
experiment_id,subject_id,round_id,bundle_id
2,3,,
2,4,,
"Minimum Compensations"
experiment_id,id,subject_id,round_id,bundle_id,amount
2,,,,,
2,,,,,
"Conditionally Unavailble bundles for Hard Coded Rounds"
id,subject_id,round_id,bundle_id
1,6,60,179
2,6,62,187
3,6,64,195
4,6,60,180
5,6,62,189
6,6,64,198
7,7,60,181
8,7,62,189
9,7,64,197
10,7,60,179
11,7,62,188
12,7,64,198
13,8,60,182
14,8,62,190
15,8,64,198
16,8,60,179
17,8,62,188
18,8,64,197
19,1,60,180
20,1,62,188
21,1,64,196
22,1,60,179
23,1,62,189
24,1,64,198
25,29,60,179
26,29,62,187
27,29,64,195
28,29,60,180
29,29,62,189
30,29,64,198
31,22,60,179
32,22,62,187
33,22,64,195
34,22,60,180
35,22,62,189
36,22,64,198
37,10,60,181
38,10,62,189
39,10,64,197
40,10,60,179
41,10,62,188
42,10,64,198
43,13,60,179
44,13,62,187
45,13,64,195
46,13,60,180
47,13,62,189
48,13,64,198
49,14,60,181
50,14,62,189
51,14,64,197
52,14,60,179
53,14,62,188
54,14,64,198
55,17,60,182
56,17,62,190
57,17,64,198
58,17,60,179
59,17,62,188
60,17,64,197
61,12,60,181
62,12,62,189
63,12,64,197
64,12,60,179
65,12,62,188
66,12,64,198
67,32,60,180
68,32,62,188
69,32,64,196
70,32,60,179
71,32,62,189
72,32,64,198
73,25,60,180
74,25,62,188
75,25,64,196
76,25,60,179
77,25,62,189
78,25,64,198
79,24,60,180
80,24,62,188
81,24,64,196
82,24,60,179
83,24,62,189
84,24,64,198
85,20,60,181
86,20,62,189
87,20,64,197
88,20,60,179
89,20,62,188
90,20,64,198
91,23,60,182
92,23,62,190
93,23,64,198
94,23,60,179
95,23,62,188
96,23,64,197
97,9,60,180
98,9,62,188
99,9,64,196
100,9,60,179
101,9,62,189
102,9,64,198
103,27,60,181
104,27,62,189
105,27,64,197
106,27,60,179
107,27,62,188
108,27,64,198
109,15,60,181
110,15,62,189
111,15,64,197
112,15,60,179
113,15,62,188
114,15,64,198
115,19,60,181
116,19,62,189
117,19,64,197
118,19,60,179
119,19,62,188
120,19,64,198
121,18,60,179
122,18,62,187
123,18,64,195
124,18,60,180
125,18,62,189
126,18,64,198
127,28,60,179
128,28,62,187
129,28,64,195
130,28,60,180
131,28,62,189
132,28,64,198
133,16,60,179
134,16,62,187
135,16,64,195
136,16,60,180
137,16,62,189
138,16,64,198
139,21,60,182
140,21,62,190
141,21,64,198
142,21,60,179
143,21,62,188
144,21,64,197
145,26,60,181
146,26,62,189
147,26,64,197
148,26,60,179
149,26,62,188
150,26,64,198
151,31,60,181
152,31,62,189
153,31,64,197
154,31,60,179
155,31,62,188
156,31,64,198
157,34,60,180
158,34,62,188
159,34,64,196
160,34,60,179
161,34,62,189
162,34,64,198
163,33,60,180
164,33,62,188
165,33,64,196
166,33,60,179
167,33,62,189
168,33,64,198
169,51,60,180
170,51,62,188
171,51,64,196
172,51,60,179
173,51,62,189
174,51,64,198
175,43,60,181
176,43,62,189
177,43,64,197
178,43,60,179
179,43,62,188
180,43,64,198
181,36,60,181
182,36,62,189
183,36,64,197
184,36,60,179
185,36,62,188
186,36,64,198
187,48,60,181
188,48,62,189
189,48,64,197
190,48,60,179
191,48,62,188
192,48,64,198
193,42,60,180
194,42,62,188
195,42,64,196
196,42,60,179
197,42,62,189
198,42,64,198
199,37,60,181
200,37,62,189
201,37,64,197
202,37,60,179
203,37,62,188
204,37,64,198
205,41,60,179
206,41,62,187
207,41,64,195
208,41,60,180
209,41,62,189
210,41,64,198
211,44,60,180
212,44,62,188
213,44,64,196
214,44,60,179
215,44,62,189
216,44,64,198
217,38,60,180
218,38,62,188
219,38,64,196
220,38,60,179
221,38,62,189
222,38,64,198
223,50,60,181
224,50,62,189
225,50,64,197
226,52,60,181
227,50,60,179
228,52,62,189
229,50,62,188
230,52,64,197
231,50,64,198
232,52,60,179
233,52,62,188
234,52,64,198
235,47,60,182
236,47,62,190
237,47,64,198
238,47,60,179
239,47,62,188
240,47,64,197
241,55,60,182
242,55,62,190
243,55,64,198
244,55,60,179
245,55,62,188
246,55,64,197
247,49,60,182
248,49,62,190
249,49,64,198
250,49,60,179
251,49,62,188
252,49,64,197
253,46,60,181
254,46,62,189
255,46,64,197
256,46,60,179
257,46,62,188
258,46,64,198
259,53,60,181
260,53,62,189
261,53,64,197
262,53,60,179
263,53,62,188
264,53,64,198
265,45,60,181
266,45,62,189
267,45,64,197
268,45,60,179
269,45,62,188
270,45,64,198
271,39,60,180
272,39,62,188
273,39,64,196
274,39,60,179
275,39,62,189
276,39,64,198
277,40,60,180
278,40,62,188
279,40,64,196
280,40,60,179
281,40,62,189
282,40,64,198
